Project,Day,Month,Year,Headline,URL,Source,Country,Language,Format,Format2,IsBroken
OSS,14,10,2014,La prothèse de bras contrôlée par la pensée utilisée au quotidien,http://www.futura-sciences.com/magazines/high-tech/infos/actu/d/technologie-prothese-bras-controlee-pensee-utilisee-quotidien-55595/,Futura Sciences,France,French,Online,,
PLP,27,2,2014,La realite augmentee au secours des membres fantomes,http://sante.doctissimo.fr/blog/18931-La-realite-augmentee-au-secours-des-membres-fantomes.html,Le Scan,France,French,Online,,
PLP,27,2,2014,La réalité augmentée pour lutter contre la douleur fantôme chez les amputés,https://www.generation-nt.com/realite-augmentee-pour-lutter-contre-douleur-fantome-chez-amputes-actualite-1857712.html,GNT,France,French,Online,Video/TV,
PLP,8,12,2016,La réalité augmentée pour soulager les douleurs du membre fantôme,https://www.sciencesetavenir.fr/sante/cerveau-et-psy/amputation-la-realite-augmentee-pour-soulager-les-douleurs-du-membre-fantome_108649,Sciences Avenir,France,French,Online,Video/TV,
OSS,10,10,2014,Le bras artificiel contrôlé par la pensée... deux ans après,http://www.sciencesetavenir.fr/sante/20141010.OBS1767/video-le-bras-artificiel-controle-par-la-pensee-deux-ans-apres.html,Science et Avenir,France,French,Online,Video/TV,
PLP,26,2,2014,Le Magazine de la santé,http://www.allodocteurs.fr/video.asp?idvideo=386,France 5,France,French,Video/TV,,Broken
OSS,,,2014,Lending a helping hand,https://thepositive.com/lending-a-helping-hand/,The Jupital,International,English,Online,,
OSS,,,2014,Lending a helping hand,https://newatlas.com/mind-controlled-prosthetics-robotic-mechatronic/34184/?utm_source=Gizmag+Subscribers&utm_campaign=43d435ac53-UA-2235360-4&utm_medium=email&utm_term=0_65b67362bd-43d435ac53-76705984,New Atlas,International,English,Online,Video/TV,
OSS,,,2014,"Lönn, A., ""Framsted inom forskning och teknik""",,Pappers Tidning,Sweden,Swedish,Print,,
PLP,11,9,2018,"Losowe splątanie, które boli","https://kopalniawiedzy.pl/fantomowy-bol-konczyn-stochastyczne-splatanie-obwod-neuronalny-siec-Max-Ortiz-Catalan,28780",Kopalnia Wiedzy,Poland,Polish,Online,,
OSS,5,2,2019,Made in Italy: la mano robotica impiantata in Svezia è nata a Pisa,https://st.ilsole24ore.com/art/tecnologie/2019-02-05/in-svezia-primo-impianto-permanente-mondo-mano-robotica-protesi-sviluppata-pisa-104114.shtml?refresh_ce=1,Technologia,International,Italian,Online,Video/TV,
OSS,,,2014,Man with first mind-controlled prosthetic arm shows off his new skills,https://www.telegraph.co.uk/science/science-news/11150037/Man-with-first-mind-controlled-prosthetic-arm-shows-off-his-new-skills.html,The Telegraph,UK,English,Online,,Broken
OSS,30,11,2012,Mano artificiale controllata con la mente esegue fedelmente tutti i movimenti (video),http://altadefinizione.hdblog.it/2012/11/30/mano-artificiale-controllata-con-la-mente-esegue-fedelmente-tutti-i-movimenti-video/,Alta Definizione,Italy,Italian,Online,Video/TV,
OSS,6,2,2019,Mano robotica permanente installata: si va verso gli uomini bionici,http://www.affaritaliani.it/sport/milan-news/mano-robotica-permanente-installata-si-va-verso-gli-uomini-bionici-586176.html,Affaritaliani,Italy,Italian,Online,,Broken
OSS,5,2,2019,Mano robotica: il primo impianto permanente,https://www.focus.it/scienza/salute/mano-robotica-il-primo-impianto-permanente,Focus,Italy,Italian,Online,Video/TV,
OSS,9,10,2014,Manos y brazos biónicos devuelven el tacto a amputados,http://www.agenciasinc.es/Noticias/Manos-y-brazos-bionicos-permiten-recuperar-la-funcionalidad-y-el-tacto-a-amputados2,Sinc,Spain,Spanish,Online,,
OSS,4,10,2016,"Meet Magnus, the cyborg Olympian with an implanted bionic arm",https://www.wired.co.uk/article/magnus-first-athlete-implanted-bionic-arm,Wired,UK,English,Online,,
PLP,2,3,2014,"Mexicano crea un nuevo método para combatir el ""dolor fantasma""",https://codigoespagueti.com/noticias/metodo-dolor-fantasma/,Codigo Espagueti,Mexico,Spanish,Online,Video/TV,
PLP,2,3,2014,"Mexicano crea un nuevo método para combatir el ""dolor fantasma""",http://www.elgolfo.info/elgolfo/nota/236426-mexicano-crea-un-nuevo-metodo-para-combatir-el-dolor-fantasma/,El Golfo,Mexico,Spanish,Online,,Broken
OSS,9,10,2014,Mexicano desarrolla prótesis controlada  interfaz directa hueso,https://www.eldiariodecoahuila.com.mx/notas/2014/10/9/mexicano-desarrolla-protesis-controlada-interfaz-directa-hueso-459707.asp,El Diario,Mexico,Spanish,Online,,Broken
PLP,,,2014,Miembro fantasma,http://www.universocanario.com/salud/bienestar/miembro-fantasma/brazo-virtual/327550,Universo Canario,,Spanish,Online,,Broken
OSS,14,10,2014,Mind Controlled Prosthetics Become a Reality,http://www.engineering.com/DesignerEdge/DesignerEdgeArticles/ArticleID/8695/Mind-Controlled-Prosthetics-Become-a-Reality.aspx,Engineering,International,English,Online,,
OSS,28,11,2012,Mind-Controlled Artificial Limbs Fusing Man and Machine Coming Next Year,https://www.wired.com/2012/11/mind-controlled-robotic-arm/,Wired,International,English,Online,,
OSS,13,10,2014,Mind-controlled mechatronic prosthetic a reality,https://newatlas.com/mind-controlled-prosthetics-robotic-mechatronic/34184/?utm_source=Gizmag+Subscribers&utm_campaign=43d435ac53-UA-2235360-4&utm_medium=email&utm_term=0_65b67362bd-43d435ac53-76705984,New Atlas,International,English,Online,Video/TV,
OSS,29,11,2012,Mind-controlled permanently-attached prosthetic arm could revolutionize prosthetics,http://www.gizmag.com/thought-controlled-prosthetic-arm/25216/,New Atlas,International,English,Online,,
OSS,8,10,2014,Mind-controlled prosthetic arm now a reality,https://www.cnet.com/news/mind-controlled-prosthetic-arm-now-reality/,CNET,International,English,Online,Video/TV,
OSS,8,10,2014,Mind-controlled prosthetic arm reaches one-year+ milestone,http://www.oandp.com/articles/NEWS_2014-10-08_02.asp,The O & P Edge,USA,English,Online,,
OSS,29,10,2014,Mind-controlled prosthetic arm restores amputee dexterity,https://www.reuters.com/video/2014/10/29/mind-controlled-prosthetic-arm-restores?videoId=346739932,Reuters,International,English,Online,Video/TV,
OSS,8,10,2014,Mind-controlled prosthetic arm tested in sweden,https://www.newsweek.com/mind-controlled-prosthetic-arm-tested-sweden-276281,Newsweek,International,English,Online,Video/TV,
OSS,8,10,2014,Mind-controlled prosthetic arms that work in daily life are now a reality,https://www.sciencedaily.com/releases/2014/10/141008153616.htm,Science Daily,International,English,Online,,
OSS,9,10,2014,Mind-Controlled Prosthetic Limbs are Now a Reality in Daily Life (VIDEO),http://www.scienceworldreport.com/articles/17859/20141009/mind-controlled-prosthetic-limbs-now-reality-daily-life-video.htm,Science World Report,International,English,Online,Video/TV,
OSS,8,10,2014,"Mind-controlled prosthetic limbs let patients ""feel"" objects",http://www.cbsnews.com/news/cutting-edge-prosthetic-limbs-transform-amputees-lives/,CBS News,International,English,Online,Video/TV,
OSS,11,10,2014,Mind-Controlled Prosthetics: A New Clinical Reality,https://www.meddeviceonline.com/doc/mind-controlled-prosthetics-a-new-clinical-reality-0001,Med Device Online,International,English,Online,Video/TV,
OSS,9,10,2014,Mind-controlled prothetic arms that work in daily life are now a reality,https://www.nanowerk.com/news2/robotics/newsid=37679.php,Nanowerk,International,English,Online,,
OSS,7,2,2019,Mujer recibe el primer implante óseo-neuromuscular de impulsos eléctricos,https://noticieros.televisa.com/videos/mujer-recibe-el-primer-implante-oseo-neuromuscular/,Televisa News,Mexico,Spanish,Online,Video/TV,
OSS,22,2,2013,Muscle- and nerve-controlled prosthetic arm unveiled,http://www.oandp.com/articles/NEWS_2013-02-22_01.asp,The O & P Edge,USA,English,Online,,
OSS,10,10,2014,Nachrichten,,Neue Zürcher Zeitung,Switzerland,German,Print,,
PLP,8,9,2018,"Näsström A., ""Fantomsmärta förklaras av forskare""",,Göteborg Posten,Sweden,Swedish,Print,,
PLP,1,1,2017,"Nature Biotechnology: Research Highlights, Vol. 35, No. 1",http://www.nature.com/nbt/journal/v35/n1/pdf/nbt.3759.pdf,Nature,International,English,Online,,
OSS,,,2014,"Nature Reviews Neurology. ""Human-machine interfaces expand the functionality of prosthetic limbs"", Vol. 10, 671",http://www.nature.com/nrneurol/journal/vaop/ncurrent/full/nrneurol.2014.212.html,Nature,International,English,Print,,
OSS,,,2014,Nerve connected prothesis,http://eandt.theiet.org/news/2014/oct/nerve-connected-prosthesis.cfm,E & T,International,English,Online,,Broken
OSS,9,10,2014,Nerve implants let patients feel through artificial fingers,https://www.nbcnews.com/health/health-news/nerve-implants-let-patients-feel-through-artificial-fingers-n221651,NBC News,International,English,Online,Video/TV,
OSS,6,11,2014,"Neural Interface Activates a Sense of Touch in Prosthetic Limbs. Vol. 14, Issue 21",https://journals.lww.com/neurotodayonline/Fulltext/2014/11060/Neural_Interface_Activates_a_Sense_of_Touch_in.7.aspx,Neurology Today,International,English,Print,,
PLP,,,2015,Neuromotus: Improving lives of amputees,http://www.tea-after-twelve.com/all-issues/issue-02/issue-02-overview/chapter3/improving-live-of-amputees/,Tea after Twelve,International,English,Online,,
OSS,,,2014,New device may draw us closer to mind controlled protheses,http://www.healio.com/orthotics-prosthetics/prosthetics/news/online/%7B12369780-5ea3-4558-98e4-e69ada56a56d%7D/new-device-may-draw-op-closer-to-mind-controlled-prostheses,Orthopodics today,International,English,Online,,Broken
PLP,26,2,2014,New method developed for treatment of phantom limb pain after amputation,https://www.redorbit.com/news/health/1113081378/new-method-treats-phantom-limb-pain-after-amputation-022614/,RedOrbit,International,English,Online,,
PLP,26,2,2014,New method developed to treat phantom limb pain ,http://www.healio.com/orthotics-prosthetics/health-care-updates/news/online/%7Bb73efd99-5987-4c4e-bbfa-2b3617cfcb01%7D/new-method-developed-to-treat-phantom-limb-pain,Helio,International,English,Online,,
OSS,8,10,2014,New prosthetic technology helps patients 'feel' objects,https://www.newsy.com/videos/new-prosthetic-technology-helps-patients-feel-objects/,Newsy,International,English,Online,Video/TV,
PLP,12,10,2018,"New research, tool center on treating PLP ",https://opedge.com/Articles/ViewArticle/2018-10-12/new-research-tools-center-on-treating-plp,Edge,USA,English,Online,,
PLP,6,9,2018,New theory for better therapy,https://www.wallstreet-online.de/nachricht/10843461-phantomschmerz-theorie-bessere-therapie,Wallstreet Online,International,German,Online,,
PLP,11,9,2018,New Theory for Phantom Limb Pain Offers a Possible Treatment,http://www.rehabpub.com/2018/09/new-theory-phantom-limb-pain-offers-possible-treatment/?ref=fr-img,Rehabmanagement,International,English,Online,,
PLP,11,9,2018,New theory for phantom limb pain points way to more effective treatment,http://www.poandpo.com/in-sickness-and-health/new-theory-for-phantom-limb-pain-points-way-to-more-effective-treatment-1192018323/,Post Online Media,International,English,Online,,
PLP,11,9,2018,New Theory of Phantom Limb Pain,http://en.farsnews.com/newstext.aspx?nn=13970620000326,Farnews,International,English,Online,,
PLP,6,9,2018,New theory of phantom pain shows the way to more effective treatment,http://www.mynewsdesk.com/se/chalmers/pressreleases/ny-teori-om-fantomsmaertor-visar-vaegen-mot-effektivare-behandling-2678073,My News Desk,International,Swedish,Online,,
PLP,7,9,2018,New Theory Ties Phantom Limb Pain to Misfiring Neurons,https://www.geek.com/news/new-theory-ties-phantom-limb-pain-to-misfiring-neurons-1751622/,Geek,International,English,Online,Video/TV,
OSS,1,11,2014,Newsday,,The Week,UK,English,Print,,
OSS,9,10,2014,Newsday,,BBC World Service Radio,International,English,Radio/Podcasts,,
OSS,1,9,2015,Next Human,,KBS,Korea,Korean,Video/TV,,
OSS,10,10,2014,Niezwykła proteza ramienia przywróciła pacjentowi zmysł dotyku,https://zmianynaziemi.pl/wiadomosc/niezwykla-proteza-ramienia-przywrocila-pacjentowi-zmysl-dotyku,Zmiany na Ziemi,Poland,Polish,Online,Video/TV,
OSS,9,10,2014,Novos braços mecânicos aumentam liberdade de movimentos delicados e bruscos,"https://www.correiobraziliense.com.br/app/noticia/ciencia-e-saude/2014/10/09/interna_ciencia_saude,451567/novos-bracos-mecanicos-aumentam-liberdade-de-movimentos-delicados-e-bruscos.shtml",Correio Braziliense,Brazil,Portuguese,Online,Video/TV,
OSS,,,2014,Now a robot hand that both grips and feels,http://timesofindia.indiatimes.com/home/science/Now-a-robot-hand-that-both-grips-and-feels/articleshow/44788478.cms,Times of India,India,English,Online,,Broken
PLP,10,3,2014,Nowa (skuteczna) metoda leczenia bólu kończyny fantomowej,"https://kopalniawiedzy.pl/bol-konczyna-fantomowa-rzeczywistosc-rozszerzona-sygal-miesniowy-elektroda-obszary-ruchowe-sprzezenie-zwrotne-Max-Ortiz-Catalan,19887",Kopalnia Wiedzy,Poland,Polish,Online,,
OSS,14,10,2014,Nowatorska proteza ręki: jest sterowana myślą i przywraca czucie w dłoni,"http://wyborcza.pl/1,75476,16798124,Nowatorska_proteza_reki__jest_sterowana_mysla_i_przywraca.html",Wyborcza,Poland,Polish,Online,Video/TV,
OSS,9,10,2014,Nuevo brazo biónico sigue impulsos de los nervios,http://www.nacion.com/vivir/medicina/Nuevo-brazo-bionico-impulsos-nervios_0_1444055586.html,La Nación,Spain,Spanish,Online,,
OSS,12,1,2019,Nuevo sistema para restaurar los movimientos de la muñeca a personas amputadas,https://www.consalud.es/saludigital/138/nuevo-sistema-restaurar-movimientos-muneca-personas-amputadas_58688_102.html.,Con Salud,Spain,Spanish,Online,,Broken
PLP,6,9,2018,Ny teori om fantomsmärtor visar vägen mot effektivare behandling,https://expertsvar.se/pressmeddelanden/ny-teori-om-fantomsmartor-visar-vagen-mot-effektivare-behandling/,Expert Svar,Sweden,Swedish,Online,,
PLP,6,9,2018,Ny teori om fantomsmärtor visar vägen mot effektivare behandling,http://www.orebronyheter.com/ny-teori-om-fantomsmartor-visar-vagen-mot-effektivare-behandling/,Örebro Nyheter,Sweden,Swedish,Online,,
PLP,5,3,2014,Nyhetsmorgon,http://www.tv4.se/nyhetsmorgon/klipp/virtuell-3d-v%C3%A4rld-lindrar-tures-fantomsm%C3%A4rtor-2568565,TV4 ,Sweden,Swedish,Online,,Broken
PLP,11,9,2018,Ofrecen explicación a aparición de 'miembros fantasma' tras amputación,https://noticiassin.com/ofrecen-explicacion-a-aparicion-de-miembros-fantasma-tras-amputacion/,Noticias SIN,Dominican Republic,Spanish,Online,,
OSS,11,10,2014,"Once more, with feeling",https://www.economist.com/science-and-technology/2014/10/11/once-more-with-feeling,The Economist,International,English,Online,,
PLP,27,2,2014,Op de pc getekende nephand doet fantoompijn vervagen,http://www.demorgen.be/dm/nl/992/Wetenschap/article/detail/1801740/2014/02/27/Op-de-pc-getekende-nephand-doet-fantoompijn-vervagen.dhtml,DeMorgen,Belgium,Dutch,Online,,Broken
PLP,27,2,2014,Op de pc getekende nephand wuift fantoompijn geamputeerde weg,https://www.volkskrant.nl/mensen/op-de-pc-getekende-nephand-wuift-fantoompijn-geamputeerde-weg~bb04218c/,deVolkskrant,Netherlands,Dutch,Online,,
PLP,6,3,2014,Pesquisador desenvolve braço artificial controlado pelo pensamento,https://veja.abril.com.br/ciencia/pesquisador-desenvolve-braco-artificial-controlado-pelo-pensamento/,Veja,Brazil,Portuguese,Online,,
OSS,4,12,2012,Pesquisador desenvolve braço artificial controlado pelo pensamento,http://veja.abril.com.br/noticia/ciencia/pesquisadores-apresentam-braco-artificial-controlado-pelo-pensamento,Veja,Brazil,Portuguese,Online,,
PLP,2,3,2014,Phantom limb pain relieved when amputated arm is put back to work,https://www.healthcanal.com/disorders-conditions/pain/48305-phantom-limb-pain-relieved-when-amputated-arm-is-put-back-to-work.html,HealthCanal,International,English,Online,,
PLP,26,2,2014,Phantom limb pain relieved when amputated arm is put back to work,https://www.ecnmag.com/news/2014/02/phantom-limb-pain-relieved-when-amputated-arm-put-back-work,ECN,International,English,Online,Video/TV,
PLP,26,2,2014,Phantom limb pain relieved when amputated arm is put back to work,https://www.sciencecodex.com/phantom_limb_pain_relieved_when_amputated_arm_is_put_back_to_work-128612,Science Codex,International,English,Online,Video/TV,
PLP,25,2,2014,Phantom limb pain relieved when amputated arm is put back to work,https://www.sciencedaily.com/releases/2014/02/140225162656.htm,Science Daily,International,English,Online,,
PLP,25,2,2014,Phantom limb pain relieved when amputated arm is put back to work (w/Video),https://medicalxpress.com/news/2014-02-phantom-limb-pain-relieved-amputated.html?src_id=alt,Medical Xpress,International,English,Online,Video/TV,
PLP,11,3,2014,Phantom limb pain relieved with augmented reality,http://www.ehealthnews.eu/development/3852-phantom-limb-pain-relieved-with-augmented-reality,eHealthNews,International,English,Online,Video/TV,
PLP,26,2,2014,Phantom limb pain: potential new treatment method for amputees,https://www.medicalnewstoday.com/articles/273130.php,Medical News Today,International,English,Online,,
PLP,26,2,2015,Phantom limb patients treated in virtual reality,https://www.thelocal.se/20140226/phantom-limb-patients-treated-by-computer-games,The Local,International,English,Online,Video/TV,
PLP,25,2,2014,Phantom menace: augmented reality eases missing limb pain,https://theconversation.com/phantom-menace-augmented-reality-eases-missing-limb-pain-23479,The Conversation,International,English,Online,Video/TV,
PLP,10,12,2016,"Phantom motor execution facilitated by machine learning and augmented reality as treatment for phantom limb pain: a single group, clinical trial in patients with chronic intractable phantom limb pain",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)31598-7/fulltext#relAudio,The Lancet,International,English,Online,Radio/Podcasts,
PLP,1,12,2016,Phantom movements in augmented reality helps patients with intractable phantom limb pain,https://www.eurekalert.org/pub_releases/2016-12/cuot-pmi113016.php,EurekAlert!,International,English,Online,Video/TV,
PLP,6,9,2018,"Phantom pain breakthrough uses machine learning, augmented reality",https://www.infowars.com/phantom-pain-breakthrough-uses-machine-learning-augmented-reality/,Infowars,International,English,Online,,
PLP,6,9,2018,Phantomschmerz: Theorie für bessere Therapie,https://www.pressetext.com/news/20180906020,Pressetext,Germany,German,Online,,
PLP,,,2014,Phantomschmerzen lassen sich wegtrainieren,http://www.vdi-nachrichten.com/Technik-Wirtschaft/Phantomschmerzen-lassen-wegtrainieren,VDI nachrichten,Germany,German,Online,,Broken
OSS,5,2,2019,Primer transplante permanente de mano robótica (+video),http://bohemia.cu/tecnologia/2019/02/realizan-primer-transplante-permanente-de-mano-robotica/,Bohemia,Cuba,Spanish,Online,,
OSS,5,2,2019,Primo impianto permanente al mondo di mano robotica,https://www.repubblica.it/salute/medicina-e-ricerca/2019/02/05/news/primo_impianto_permanente_al_mondo_di_una_mano_robotica-218340585/,la Repubblica,Italy,Italian,Online,,
OSS,5,2,2019,Primo impianto permanente al mondo di una mano robotica,http://www.ansa.it/sito/notizie/tecnologia/hitech/2019/02/05/primo-impianto-permanente-al-mondo-di-una-mano-robotica-foto-e-video_db09d383-444a-451b-bab7-63f55465798f.html,Ansa,Italy,Italian,Online,Video/TV,
OSS,9,10,2014,Prosthetic arm controlled by brain successfully developed,http://www.medicalnewstoday.com/articles/283640.php,Medical News Today,International,English,Online,,
OSS,8,10,2014,Prosthetic hand recreates feeling of cotton bud touch,http://www.newscientist.com/article/dn26346-prosthetic-hand-recreates-feeling-of-cotton-bud-touch.html,New Scientist,International,English,Online,,
OSS,1,10,2014,Prosthetic hands bestowed with a sense of touch,http://news.sciencemag.org/brain-behavior/2014/10/prosthetic-hands-bestowed-sense-touch,ScienceMag,International,English,Online,,Broken
OSS,28,11,2018,Prosthetic implant provides realistic wrist movement to amputees,https://www.theengineer.co.uk/prosthetic-implant-wrist-movement/,The Engineer,UK,English,Online,Video/TV,
OSS,,,2012,Protesen som styrs av tankarna,http://www.netcommunity.se/201211226544/EL/Elektronik/Artiklar/Protesen-som-styrs-av-tankarna-6544/menu-id-516,Net Community,Sweden,Swedish,Online,,
OSS,9,10,2014,Prótesis controlada con una interfaz directa al hueso,https://www.unocero.com/categoria/smartphones/,Unocero,Mexico,Spanish,Online,,Broken
OSS,9,10,2014,Proteza połączona bezpośrednio z ciałem pacjenta przywróciła mu zmysł dotyku,https://whatnext.pl/proteza-polaczona-bezposrednio-cialem-pacjenta/,Whatnext,Poland,Polish,Online,,
OSS,9,10,2014,Prothese über Gedanken gesteuert,https://sverigesRadio/Podcasts.se/sida/artikel.aspx?programid=2108&artikel=5986925,Radio Sweden,Germany,German,Radio/Podcasts,,Broken
OSS,20,10,2014,První pevné spojení nervů: robotická ruka vrátila pacientovi hmat,http://e-svet.e15.cz/technika/prvni-pevne-spojeni-nervu-roboticka-ruka-vratila-pacientovi-hmat-1129769,E15,Czech,Czech,Online,Video/TV,
PLP,4,12,2018,Que causa el dolor del miembro fantasma,http://www.conacytprensa.mx/index.php/ciencia/salud/24293-causa-dolor-miembro-fantasma?platform=hootsuite,Cienciamx,Mexico,Spanish,Online,,
OSS,29,11,2012,"Razvili prvu robotsku ruku, protezu kojom se upravlja mislima",http://www.vecernji.hr/vijesti/video-razvili-prvu-robotsku-ruku-protezu-kojom-se-upravlja-mislima-clanak-480928,Vecernji,Croatia,Croatian,Online,Video/TV,
PLP,27,2,2014,Realidade virtual ajuda a diminuir a dor de homem que ficou sem antebraço,https://www.publico.pt/2014/02/27/ciencia/noticia/realidade-virtual-ajuda-a-diminuir-a-dor-de-homem-que-ficou-sem-antebraco-1626289,Publico,Portugal,Portuguese,Online,,
OSS,5,2,2019,Realizan primer implante permanente en el mundo de una mano robótica,http://lademajagua.cu/realizan-primer-implante-permanente-mundo-una-mano-robotica/,La Demajagua,Cuba,Spanish,Online,,
OSS,1,8,2010,"Reimegård, L., ""Proteser får liv med unik styrning""",,Dagens Medicin - Medicinsk Teknik,Sweden,Swedish,Print,,
OSS,3,12,2012,Researcher developing technology to control an osseointegrated prosthetic arm,http://www.oandp.com/articles/NEWS_2012-12-03_01.asp,The O & P Edge,USA,English,Online,,
PLP,26,2,2014,Researchers treat phantom limb pain using virtual arm,http://www.natureworldnews.com/articles/6182/20140226/researchers-treat-phantom-pain-using-virtual-arm.htm,Nature World News,International,English,Online,,
OSS,15,11,2012,Robotarm styrs av tankar,http://www.svt.se/nyheter/vetenskap/robotarm-styrs-av-tankar,SVT Nyheter,Sweden,Swedish,Online,,
OSS,9,10,2014,Robotarm till kliniska studier,http://www.lifesciencesweden.se/medtech/halla-dar-max-ortiz-catalan/,Life Science Sweden,Sweden,Swedish,Online,,
OSS,22,2,2013,Robotprotes som kan styras med tanken,http://www.lifesciencesweden.se/medtech/robotprotes-som-kan-styras-med-tanken/,Life Science Sweden,Sweden,Swedish,Online,,
OSS,,,2014,"Rönnberg, P., ""Årets bästa 2013 – forskning och teknik i Sverige""",,IngenjörsVetenskapsAkademin (IVA) Aktuellt,Sweden,Swedish,Print,,
PLP,3,3,2014,S.O.S. Douleurs fantômes,https://www.sciencesetavenir.fr/sante/s-o-s-douleurs-fantomes_27122,Sciences Avenir,France,French,Online,Video/TV,
OSS,7,12,2012,"Schlüter, N., ""Unter die Haut""",,New Scientist (deutsche Ausgabe),Germany,German,Print,,
PLP,29,10,2018,Science in a minute: New Theory on Origin of Phantom Limb,https://www.voanews.com/a/4633324.html,VoaNews,International,English,Online,Radio/Podcasts,
OSS,,,2014,Scientists create mind-controlled prosthetics that move and feel sensations,http://www.voanews.com/content/scientists-create-mind-controlled-prosthetics-that-move-and-feel-sensations/2477395.html,Voice of America,USA,English,Online,,Broken
OSS,5,2,2019,Scientists develop world's most advanced bionic hand that can be controlled by the mind and even gives amputees back a sense of TOUCH,https://www.dailymail.co.uk/health/article-6670441/Breakthrough-prosthetic-hand-FEEL-controlled-mind.html,Mail Online,UK,English,Online,,
PLP,11,3,2014,Scientists find way to cure phantom limb pain,https://zeenews.india.com/news/health/health-news/scientists-find-way-to-cure-phantom-limb-pain_27079.html,Zee News,India,English,Online,,
OSS,,,2014,Scientists Fuse Man and Machine: Mind-Controlled Robotic Arm Prosthetics Now 'Clinical Reality',http://www.ibtimes.co.uk/scientists-fuse-man-machine-mind-controlled-robotic-arm-prosthetics-now-clinical-reality-1469098,International Business Times,International,English,Online,,
OSS,,,2014,Scientists Fuse Man and Machine: Mind-Controlled Robotic Arm Prosthetics Now 'Clinical Reality',https://uk.news.yahoo.com/scientists-fuse-man-machine-mind-controlled-robotic-arm-190000448.html#tPy1y4l,Yahoo News,International,English,Online,,Broken
OSS,9,10,2014,Se protesen som styrs med tankekraft,http://www.nyteknik.se/nyheter/bioteknik_lakemedel/medicin_teknik/article3854502.ece,NyTeknik,Sweden,Swedish,Online,Video/TV,
OSS,5,2,2019,See world's most advanced bionic hand in action,https://www.eadt.co.uk/news/university-of-essex-bionic-hand-1-5880315,East Anglian Daily Times,UK,English,Online,Video/TV,
OSS,1,4,2013,"Sender, E. ""Un bras artificiel contrôlé par la pensée""",,Science & Avenir,France,French,Print,,
PLP,1,10,2015,"Senkowski et al., ""Bloß nicht hinschauen!""",,"Sehirn und Geist,m Spektrumsverlag",Germany,German,Print,,
OSS,9,10,2014,Simple everyday life with mind controlled prosthesis,https://sverigesRadio/Podcasts.se/sida/artikel.aspx?programid=406&artikel=5985977,Radio Sweden,Sweden,English,Radio/Podcasts,,Broken
PLP,29,12,2016,"Síndrome del miembro fantasma, dolor real",http://www.cronica.com.mx/notas/2016/953100.html,Cronica,Mexico,Spanish,Online,,
PLP,6,9,2018,Sindrome dell'arto fantasma: realtà aumentata e intelligenza artificiale per sconfiggere il dolore,http://www.quotidianosanita.it/scienza-e-farmaci/articolo.php?articolo_id=65246,Quotidiano Sanità,Italy,Italian,Online,,
OSS,,,2016,"Sterry, M., ""Biomimetics: Learning from life""",,"Chapter 9 in ""Global Innovation Science Handbook"" by Gupta and Trusko, McGraw-Hill",International,English,Print,,
OSS,5,2,2019,Su una donna svedese impiantato il primo robot per controllo della mano artificiale,https://www.ilmessaggero.it/salute/ricerca/mano_robotica_impianto_donna_svedese-4279157.html,Il Messaggero,Italy,Italian,Online,Video/TV,
PLP,26,2,2014,Superb computer program for phantom limb pain,https://topnews.us/content/261012-superb-computer-program-phantom-limb-pain,TopNews US,International,English,Online,,
OSS,5,2,2019,Svensk patient först med en kännande robothand,https://www.forskning.se/2019/02/05/svensk-patient-forst-med-en-kannande-robothand/,Forskning,Sweden,Swedish,Online,Video/TV,
OSS,5,2,2019,"Svezia, eseguito il primo impianto permanente di una mano robotica",https://www.tgcom24.mediaset.it/mondo/svezia-eseguito-primo-impianto-permanente-di-mano-robotica_3189845-201902a.shtml,TGCOM24,Italy,Italian,Online,Video/TV,
OSS,9,10,2014,Sweden tests mind-controlled prosthesis,https://sverigesRadio/Podcasts.se/sida/artikel.aspx?programid=2054&artikel=5987142,Radio Sweden,Sweden,English,Radio/Podcasts,,Broken
OSS,9,10,2014,Swedish man first to use mind-controlled prosthetic arm,https://www.independent.co.uk/news/science/swedish-man-is-first-to-use-mind-controlled-prosthetic-arm-9785950.html,Independent,UK,English,Online,Video/TV,
OSS,5,2,2019,Swedish patient becomes first recipient of novel implant to control dexterous hand prosthesis,https://www.news-medical.net/news/20190205/Swedish-patient-becomes-first-recipient-of-novel-implant-to-control-dexterous-hand-prosthesis.aspx,News Medical,International,English,Online,,
OSS,14,11,2012,Tankestyrd protes förändrar,http://www.elinor.se/Tankestyrd-protes-forandrar.html/,Elektronic Tidningen,Sweden,Swedish,Online,,
PLP,6,9,2018,Tech: A new theory for phantom limb pain points the way to more effective treatment — (Report),http://www.tunisiesoir.com/tech/tech-a-new-theory-for-phantom-limb-pain-points-the-way-to-more-effective-treatment-report-6853-2018/,Tunisiesoir,International,English,Online,,
PLP,12,3,2014,Técnica obtém sucesso contra a síndrome do membro fantasma,"https://www.em.com.br/app/noticia/tecnologia/2014/03/12/interna_tecnologia,506921/tecnica-obtem-sucesso-contra-a-sindrome-do-membro-fantasma.shtml",EM ,Brazil,Portuguese,Online,,
OSS,29,11,2018,That's handy! Fascinating footage shows the potential of new artificial joint that fully restores natural wrist rotation,https://www.dailymail.co.uk/health/article-6443419/New-artificial-joint-restores-natural-wrist-movement-drastically-improve-lives-arm.html,MailOnline,International,English,Online,Video/TV,
